3601040010,3601040,SUKASENENG,sukaseneng,-6.749194423,105.8810027,2022-06-14 02:03:07,2022-06-14 02:03:07
3601040011,3601040,CIKEUSIK,cikeusik,-6.724345106,105.8661866,2022-06-14 02:03:07,2022-06-14 02:03:07
3601040012,3601040,LEUWIBALANG,leuwibalang,-6.689896537,105.8606593,2022-06-14 02:03:07,2022-06-14 02:03:07
3601040013,3601040,CURUGCIUNG,curugciung,-6.706135734,105.8908825,2022-06-14 02:03:07,2022-06-14 02:03:07
3601040014,3601040,CIKADONGDONG,cikadongdong,-6.709113124,105.907135,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050001,3601050,BANYUASIH,banyuasih,-6.583734667,105.6335078,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050002,3601050,KARANGBOLONG,karangbolong,-6.639003967,105.6540567,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050003,3601050,KARYABUANA,karyabuana,-6.616006789,105.6906757,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050004,3601050,KATUMBIRI,katumbiri,-6.647094307,105.6865744,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050005,3601050,WARINGINJAYA,waringinjaya,-6.663325283,105.719806,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050006,3601050,SINARJAYA,sinarjaya,-6.637333854,105.7310622,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050007,3601050,CISEUREUHEUN,ciseureuheun,-6.608901471,105.7325493,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050009,3601050,CIGEULIS,cigeulis,-6.585222167,105.6829067,2022-06-14 02:03:07,2022-06-14 02:03:07
3601050010,3601050,TARUMANAGARA,tarumanagara,-6.562003882,105.6831469,2022-06-14 02:03:07,2022-06-14 02:03:07
3601060007,3601060,MEKARJAYA,mekarjaya,-6.504861905,105.8196411,2022-06-14 02:03:07,2022-06-14 02:03:07
3601060008,3601060,GOMBONG,gombong,-6.526184475,105.8002959,2022-06-14 02:03:07,2022-06-14 02:03:07
3601060009,3601060,PANIMBANGJAYA,panimbangjaya,-6.500772541,105.7970861,2022-06-14 02:03:07,2022-06-14 02:03:07
3601060010,3601060,MEKARSARI,mekarsari,-6.523047,105.754939,2022-06-14 02:03:07,2022-06-14 02:03:07
3601060011,3601060,CITEUREUP,citeureup,3.1187,97.3112,2022-06-14 02:03:07,2022-06-14 02:03:07
